datum;celkovy_cas;aktualny_cas
2022-10-05T17:46Z;11:49;00:01
2022-10-05T17:46Z;11:51;00:01
2022-10-05T17:46Z;11:53;00:01
2022-10-05T17:46Z;11:55;00:01
2022-10-05T17:46Z;11:57;00:01
2022-10-05T17:46Z;11:58;00:01
2022-10-05T17:46Z;12:00;00:01
2022-10-05T17:46Z;12:02;00:01
2022-10-05T17:46Z;12:03;00:01
2022-10-05T17:46Z;12:05;00:01
2022-10-05T17:46Z;12:07;00:01
2022-10-05T17:46Z;12:09;00:01
2022-10-05T17:46Z;12:10;00:01
2022-10-05T17:46Z;12:12;00:01
2022-10-05T17:46Z;12:14;00:01
2022-10-05T17:46Z;12:15;00:01
2022-10-05T17:47Z;12:17;00:01
2022-10-05T17:47Z;12:19;00:01
2022-10-05T17:47Z;12:21;00:01
2022-10-05T17:47Z;12:22;00:01
2022-10-05T17:47Z;12:24;00:01
2022-10-05T17:47Z;12:26;00:01
2022-10-05T17:47Z;12:28;00:01
2022-10-05T17:47Z;12:30;00:01
2022-10-05T17:47Z;12:31;00:01
2022-10-05T17:47Z;12:33;00:01
2022-10-05T17:47Z;12:35;00:01
2022-10-05T17:47Z;12:37;00:01
2022-10-05T17:47Z;12:38;00:01
2022-10-05T17:47Z;12:40;00:01
2022-10-05T17:47Z;12:42;00:01
2022-10-05T17:47Z;12:44;00:01
2022-10-05T17:47Z;12:45;00:01
2022-10-05T17:47Z;12:47;00:01
2022-10-05T17:47Z;12:49;00:01
2022-10-05T17:47Z;12:51;00:01
2022-10-05T17:47Z;12:53;00:01
2022-10-05T17:47Z;12:54;00:01
2022-10-05T17:47Z;12:56;00:01
2022-10-05T17:47Z;12:58;00:01
2022-10-05T17:47Z;13:00;00:01
2022-10-05T17:47Z;13:02;00:01
2022-10-05T17:47Z;13:03;00:01
2022-10-05T17:47Z;13:05;00:01
2022-10-05T17:47Z;13:07;00:01
2022-10-05T17:47Z;13:09;00:01
2022-10-05T17:47Z;13:10;00:01
2022-10-05T17:47Z;13:12;00:01
2022-10-05T17:47Z;13:14;00:01
2022-10-05T17:47Z;13:16;00:01
2022-10-05T17:48Z;13:18;00:01
2022-10-05T17:48Z;13:19;00:01
2022-10-05T17:48Z;13:21;00:01
2022-10-05T17:48Z;13:23;00:01
2022-10-05T17:48Z;13:25;00:01
2022-10-05T17:48Z;13:26;00:01
2022-10-05T17:48Z;13:28;00:01
2022-10-05T17:48Z;13:30;00:01
2022-10-05T17:48Z;13:31;00:01
2022-10-05T17:48Z;13:33;00:01
2022-10-05T17:48Z;13:35;00:01
2022-10-05T17:48Z;13:37;00:01
2022-10-05T17:48Z;13:38;00:01
2022-10-05T17:48Z;13:40;00:01
2022-10-05T17:48Z;13:42;00:01
2022-10-05T17:48Z;13:44;00:01
2022-10-05T17:48Z;13:45;00:01
2022-10-05T17:48Z;13:47;00:01
2022-10-05T17:48Z;13:49;00:01
2022-10-05T17:48Z;13:51;00:01
2022-10-05T17:48Z;13:53;00:01
2022-10-05T17:48Z;13:54;00:01
2022-10-05T17:48Z;13:56;00:01
2022-10-05T17:48Z;13:58;00:01
2022-10-05T17:48Z;14:00;00:01
2022-10-05T17:48Z;14:01;00:01
2022-10-05T17:48Z;14:03;00:01
2022-10-05T17:48Z;14:05;00:01
2022-10-05T17:48Z;14:06;00:01
2022-10-05T17:48Z;14:08;00:01
2022-10-05T17:48Z;14:10;00:01
2022-10-05T17:48Z;14:12;00:01
2022-10-05T17:48Z;14:13;00:01
2022-10-05T17:48Z;14:15;00:01
2022-10-05T17:49Z;14:17;00:01
2022-10-05T17:49Z;14:18;00:01
2022-10-05T17:49Z;14:20;00:01
2022-10-05T17:49Z;14:22;00:01
2022-10-05T17:49Z;14:23;00:01
2022-10-05T17:49Z;14:25;00:01
2022-10-05T17:49Z;14:27;00:01
2022-10-05T17:49Z;14:29;00:01
2022-10-05T17:49Z;14:31;00:01
2022-10-05T17:49Z;14:32;00:01
2022-10-05T17:49Z;14:34;00:01
2022-10-05T17:49Z;14:36;00:01
2022-10-05T17:49Z;14:38;00:01
2022-10-05T17:49Z;14:39;00:01
2022-10-05T17:49Z;14:41;00:01
