datum; celkovy cas; aktualny_cas
2022-10-05T01:42Z;14:06;00:01
2022-10-05T01:42Z;14:08;00:01
2022-10-05T01:42Z;14:10;00:01
2022-10-05T01:42Z;14:12;00:01
2022-10-05T01:42Z;14:14;00:01
2022-10-05T01:42Z;14:16;00:01
2022-10-05T01:42Z;14:18;00:01
2022-10-05T01:42Z;14:19;00:01
2022-10-05T01:42Z;14:21;00:01
2022-10-05T01:42Z;14:23;00:01
2022-10-05T01:42Z;14:25;00:01
2022-10-05T01:42Z;14:27;00:01
2022-10-05T01:42Z;14:29;00:01
2022-10-05T01:42Z;14:31;00:01
2022-10-05T01:42Z;14:33;00:01
2022-10-05T01:42Z;14:35;00:01
2022-10-05T01:42Z;14:36;00:01
2022-10-05T01:42Z;14:38;00:01
2022-10-05T01:42Z;14:41;00:01
2022-10-05T01:42Z;14:42;00:01
2022-10-05T01:42Z;14:44;00:01
2022-10-05T01:42Z;14:46;00:01
2022-10-05T01:42Z;14:48;00:01
2022-10-05T01:42Z;14:49;00:01
2022-10-05T01:42Z;14:51;00:01
2022-10-05T01:42Z;14:53;00:01
2022-10-05T01:42Z;14:54;00:01
2022-10-05T01:42Z;14:56;00:01
2022-10-05T01:42Z;14:58;00:01
2022-10-05T01:42Z;14:59;00:01
2022-10-05T01:42Z;15:01;00:01
2022-10-05T01:42Z;15:03;00:01
2022-10-05T01:43Z;15:05;00:01
2022-10-05T01:43Z;15:06;00:01
2022-10-05T01:43Z;15:08;00:01
2022-10-05T01:43Z;15:10;00:01
2022-10-05T01:43Z;15:12;00:01
2022-10-05T01:43Z;15:13;00:01
2022-10-05T01:43Z;15:15;00:01
2022-10-05T01:43Z;15:17;00:01
2022-10-05T01:43Z;15:18;00:01
2022-10-05T01:43Z;15:20;00:01
2022-10-05T01:43Z;15:22;00:01
2022-10-05T01:43Z;15:23;00:01
2022-10-05T01:43Z;15:25;00:01
2022-10-05T01:43Z;15:27;00:01
2022-10-05T01:43Z;15:28;00:01
2022-10-05T01:43Z;15:30;00:01
2022-10-05T01:43Z;15:32;00:01
2022-10-05T01:43Z;15:33;00:01
2022-10-05T01:43Z;15:35;00:01
2022-10-05T01:43Z;15:37;00:01
2022-10-05T01:43Z;15:38;00:01
2022-10-05T01:43Z;15:40;00:01
2022-10-05T01:43Z;15:42;00:01
2022-10-05T01:43Z;15:43;00:01
2022-10-05T01:43Z;15:45;00:01
2022-10-05T01:43Z;15:47;00:01
2022-10-05T01:43Z;15:48;00:01
2022-10-05T01:43Z;15:50;00:01
2022-10-05T01:43Z;15:51;00:01
2022-10-05T01:43Z;15:53;00:01
2022-10-05T01:43Z;15:55;00:01
2022-10-05T01:43Z;15:57;00:01
2022-10-05T01:43Z;15:58;00:01
2022-10-05T01:43Z;16:00;00:01
2022-10-05T01:43Z;16:02;00:01
2022-10-05T01:43Z;16:03;00:01
2022-10-05T01:44Z;16:05;00:01
2022-10-05T01:44Z;16:07;00:01
2022-10-05T01:44Z;16:09;00:01
2022-10-05T01:44Z;16:10;00:01
2022-10-05T01:44Z;16:12;00:01
2022-10-05T01:44Z;16:14;00:01
2022-10-05T01:44Z;16:15;00:01
2022-10-05T01:44Z;16:17;00:01
2022-10-05T01:44Z;16:19;00:01
2022-10-05T01:44Z;16:20;00:01
2022-10-05T01:44Z;16:22;00:01
2022-10-05T01:44Z;16:24;00:01
2022-10-05T01:44Z;16:26;00:01
2022-10-05T01:44Z;16:27;00:01
2022-10-05T01:44Z;16:29;00:01
2022-10-05T01:44Z;16:31;00:01
2022-10-05T01:44Z;16:33;00:01
2022-10-05T01:44Z;16:34;00:01
2022-10-05T01:44Z;16:36;00:01
2022-10-05T01:44Z;16:38;00:01
2022-10-05T01:44Z;16:39;00:01
2022-10-05T01:44Z;16:41;00:01
2022-10-05T01:44Z;16:43;00:01
2022-10-05T01:44Z;16:45;00:01
2022-10-05T01:44Z;16:47;00:01
2022-10-05T01:44Z;16:49;00:01
2022-10-05T01:44Z;16:51;00:01
2022-10-05T01:44Z;16:53;00:01
2022-10-05T01:44Z;16:54;00:01
2022-10-05T01:44Z;16:56;00:01
2022-10-05T01:44Z;16:58;00:01
2022-10-05T01:44Z;17:00;00:01
2022-10-05T01:44Z;17:02;00:01
2022-10-05T01:44Z;17:04;00:01
2022-10-05T01:45Z;17:05;00:01
2022-10-05T01:45Z;17:07;00:01
2022-10-05T01:45Z;17:09;00:01
2022-10-05T01:45Z;17:11;00:01
2022-10-05T01:45Z;17:12;00:01
2022-10-05T01:45Z;17:14;00:01
2022-10-05T01:45Z;17:16;00:01
2022-10-05T01:45Z;17:18;00:01
2022-10-05T01:45Z;17:20;00:01
2022-10-05T01:45Z;17:22;00:01
2022-10-05T01:45Z;17:23;00:01
2022-10-05T01:45Z;17:25;00:01
2022-10-05T01:45Z;17:27;00:01
2022-10-05T01:45Z;17:29;00:01
2022-10-05T01:45Z;17:31;00:01
2022-10-05T01:45Z;17:33;00:01
2022-10-05T01:45Z;17:35;00:01
2022-10-05T01:45Z;17:36;00:01
2022-10-05T01:45Z;17:38;00:01
2022-10-05T01:45Z;17:40;00:01
2022-10-05T01:45Z;17:42;00:01
2022-10-05T01:45Z;17:44;00:01
2022-10-05T01:45Z;17:46;00:01
2022-10-05T01:45Z;17:48;00:01
2022-10-05T01:45Z;17:49;00:01
2022-10-05T01:45Z;17:51;00:01
2022-10-05T01:45Z;17:53;00:01
2022-10-05T01:45Z;17:55;00:01
2022-10-05T01:45Z;17:56;00:01
2022-10-05T01:45Z;17:58;00:01
2022-10-05T01:45Z;18:00;00:01
2022-10-05T01:45Z;18:02;00:01
2022-10-05T01:45Z;18:04;00:01
2022-10-05T01:46Z;18:06;00:01
2022-10-05T01:46Z;18:08;00:01
2022-10-05T01:46Z;18:09;00:01
2022-10-05T01:46Z;18:11;00:01
2022-10-05T01:46Z;18:13;00:01
2022-10-05T01:46Z;18:15;00:01
2022-10-05T01:46Z;18:17;00:01
2022-10-05T01:46Z;18:18;00:01
2022-10-05T01:46Z;18:20;00:01
2022-10-05T01:46Z;18:22;00:01
2022-10-05T01:46Z;18:24;00:01
2022-10-05T01:46Z;18:26;00:01
2022-10-05T01:46Z;18:28;00:01
2022-10-05T01:46Z;18:29;00:01
2022-10-05T01:46Z;18:31;00:01
2022-10-05T01:46Z;18:33;00:01
2022-10-05T01:46Z;18:35;00:01
2022-10-05T01:46Z;18:36;00:01
2022-10-05T01:46Z;18:38;00:01
2022-10-05T01:46Z;18:40;00:01
2022-10-05T01:46Z;18:42;00:01
2022-10-05T01:46Z;18:43;00:01
2022-10-05T01:46Z;18:45;00:01
2022-10-05T01:46Z;18:47;00:01
2022-10-05T01:46Z;18:49;00:01
2022-10-05T01:46Z;18:50;00:01
2022-10-05T01:46Z;18:52;00:01
2022-10-05T01:46Z;18:54;00:01
2022-10-05T01:46Z;18:56;00:01
2022-10-05T01:46Z;18:58;00:01
2022-10-05T01:46Z;19:00;00:01
2022-10-05T01:46Z;19:04;00:02
2022-10-05T01:47Z;19:06;00:01
2022-10-05T01:47Z;19:08;00:01
2022-10-05T01:47Z;19:10;00:01
2022-10-05T01:47Z;19:12;00:01
2022-10-05T01:47Z;19:13;00:01
2022-10-05T01:47Z;19:15;00:01
2022-10-05T01:47Z;19:17;00:01
2022-10-05T01:47Z;19:18;00:01
